******************************************************************************************************************************************************************************************************************************
CODIGO INSTALACION   : 130391:90437
LOG DEL PROGRAMA     : FE_FIRMFAC
VERSION DEL PROGRAMA : 34
NIVEL TRAZA          : TRACE
CODIGO MENU          : 2V28010
VERSION LIBRA        : v6.1.2.6.4.3-4
VERSION COMPILACION  : 6.4.1
VERSION FORMS        : 12.2.1.1.0
CONFIGURACION FORMS  : libra_saa
CURRENT_FORM         : FE_FIRMFAC
ID_FORM              : 23
CALLING_FORM         : 
BUILTIN_DATE_FORMAT  : YY
FECHA(SYSDATE)       : 03-10-2024 15:47:18
VERSION CLIENTE      : 6.0.1
PRUEBA FALLOS        : N
EMPRESA              : 004
USUARIO              : EMERCADO
SUPERUSUARIO         : EMERCADO
USUARIO S.O.         : edgar.mercado
USUARIO ORIGEN       : 
EQUIPO S.O.          : EMERCADO
MASCARA FECHAS       : DD/MM/YYYY
SISTEMA OPERATIVO    : Windows 10
VERSION JAVA         : 1.8.0_352 (x64)
******************************************************************************************************************************************************************************************************************************
15:47:19 {TRACE}  : BD:PKPANTALLAS_AUX-INT_EXECUTE_IMMEDIATE: p_comando: ALTER SESSION SET TRACEFILE_IDENTIFIER = "F90437-EMERCADO-FE_FIRMFAC"
15:47:19 {TRACE}  : BD:PKPANTALLAS_AUX-INT_EXECUTE_IMMEDIATE: p_comando: BEGIN dbms_session.session_trace_enable(binds=>true,waits=>true); END;
15:47:19 {TRACE}  : EJECUTANDO INICIO
15:47:19 {TRACE}  : PKPANTALLAS.SET_ROL_ACTIVO: 
15:47:19 {TRACE}  : BD:PKPANTALLAS-SET_ROL_ACTIVO: p_rol: 
15:47:19 {TRACE}  : CARGANDO DATOS DE PROGRAMAS_ERP: Envío/anul. firma electrónica
15:47:19 {TRACE}  : BD:PKPANTALLAS-SET_EMPRESA_USUARIO: p_empresa: 004, p_usuario: EMERCADO, p_perfil: 1SISTEMAS
15:47:19 {TRACE}  : BD:PKPANTALLAS_CU-EJECUTAR_PL_SQL_SENCILLO: p_codigo: ALTER SESSION SET TIME_ZONE = '-04:00'
15:47:19 {TRACE}  : BD:PKPANTALLAS-SET_IDIOMA_USUARIO_VALIDADO: p_idioma: 23
15:47:19 {TRACE}  : BD:PKPANTALLAS-SET_VARIABLE_INT: p_variable VARCHAR2: PKIDIOMAS.REG_FALLOS_TRADUCCION, p_valor: N
15:47:19 {TRACE}  : BD:PKPANTALLAS-SET_IDIOMA_USUARIO_VALIDADO: p_idioma: 23
15:47:19 {TRACE}  : BD:PKPANTALLAS-GET_ID_PERSONALIZACION: p_programa: FE_FIRMFAC, p_empresa: 004, p_usuario: EMERCADO, p_perfil: 1SISTEMAS
15:47:19 {TRACE}  :   USANDO PERSONALIZACION: 1
15:47:19 {TRACE}  : ESTABLECIENDO CONFIGURACION DEL USUARIO
15:47:19 {TRACE}  : BD:PKPANTALLAS-COMANDO_CONFIG_USUARIO: p_operacion: PKLIBPNT_IMP, p_parametro1: DESTINO_REPORT_FAX, p_parametro2: N, p_parametro3: 
15:47:19 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: ACTIVA_PERFILADOR, p_valor: TRUE
15:47:19 {TRACE}  : FMENU.SET_PROPIEDAD: p_propiedad: EDITAR_AYUDA_CAMPOS, p_valor: N
15:47:19 {TRACE}  : BD:PK_GALILEO-CONFIGURADO_SERVICIO_GALILEO: p_id_galileo: GAL_PROXY
